"House Price Index by region; existing own homes; 2010 = 100"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Nederland";"2010";"100.0";"-2.2";"-2.2";"126127";"-1.1";"-1.1"
"Nederland";"2011 1st quarter";"98.7";"-0.5";"-1.5";"28358";"-16.8";"2.2"
"Nederland";"2011 2nd quarter";"98.3";"-0.4";"-2.0";"29532";"4.1";"-7.4"
"Nederland";"2011 3rd quarter";"97.5";"-0.8";"-2.8";"30769";"4.2";"-5.0"
"Nederland";"2011 4th quarter";"95.8";"-1.7";"-3.4";"32080";"4.3";"-5.9"
"Nederland";"2011";"97.6";"-2.4";"-2.4";"120739";"-4.3";"-4.3"
"Nederland";"2012 1st quarter";"94.6";"-1.3";"-4.1";"23951";"-25.3";"-15.5"
"Nederland";"2012 2nd quarter";"92.8";"-1.9";"-5.5";"34628";"44.6";"17.3"
"Nederland";"2012 3rd quarter";"89.1";"-3.9";"-8.6";"22978";"-33.6";"-25.3"
"Nederland";"2012 4th quarter";"88.5";"-0.7";"-7.6";"35704";"55.4";"11.3"
"Nederland";"2012";"91.3";"-6.5";"-6.5";"117261";"-2.9";"-2.9"
"Nederland";"2013 1st quarter";"86.5";"-2.3";"-8.6";"23090";"-35.3";"-3.6"
"Nederland";"2013 2nd quarter";"84.7";"-2.0";"-8.7";"22111";"-4.2";"-36.1"
"Nederland";"2013 3rd quarter";"85.1";"0.4";"-4.6";"28925";"30.8";"25.9"
"Nederland";"2013 4th quarter";"84.8";"-0.4";"-4.3";"35968";"24.3";"0.7"
"Nederland";"2013";"85.3";"-6.6";"-6.6";"110094";"-6.1";"-6.1"
"Nederland";"2014 1st quarter";"85.2";"0.6";"-1.5";"28963";"-19.5";"25.4"
"Nederland";"2014 2nd quarter";"85.8";"0.6";"1.2";"34074";"17.6";"54.1"
"Nederland";"2014 3rd quarter";"86.6";"0.9";"1.8";"39160";"14.9";"35.4"
"Nederland";"2014 4th quarter";"86.6";"0.1";"2.2";"51314";"31.0";"42.7"
"Nederland";"2014";"86.1";"0.9";"0.9";"153511";"39.4";"39.4"
"Nederland";"2015 1st quarter";"87.3";"0.8";"2.4";"34527";"-32.7";"19.2"
"Nederland";"2015 2nd quarter";"87.9";"0.8";"2.5";"40722";"17.9";"19.5"
"Nederland";"2015 3rd quarter";"89.1";"1.3";"2.9";"50609";"24.3";"29.2"
"Nederland";"2015 4th quarter";"89.7";"0.6";"3.5";"52435";"3.6";"2.2"
