"year","all","HS","SC","BAp","BAo","GD","White","Black","Hisp","NE","MA","Midwest","South","Mountain","Pacific","poor","mid","rich",
1960,0.123314473976105,0.109533164351255,0.152281777429172,0.238995227752286,0.238995227752286,0.0,0.116484827093628,0.162185504526089,0.139373642006956,0.150418381322909,0.162893377899264,0.112146700905191,0.109056180635483,0.091521170606004,0.119875799068635,0.137159744916431,0.0751492896697983,0.206677557548492,
1970,0.126971470328779,0.10940002390343,0.149509574235467,0.218703096762337,0.218703096762337,0.0,0.117904279042064,0.185516307973846,0.129876863253402,0.151723141391518,0.164068036853296,0.115374057894861,0.112621980483123,0.102936015908293,0.137496402877698,0.17172023771487,0.0815920680116161,0.172409318019596,
1980,0.199176741241349,0.16173134437427,0.223691625806206,0.288164620190605,0.288164620190605,0.0,0.182412555571221,0.313750041500074,0.188544039107076,0.241432741522713,0.250592502343676,0.182833876359507,0.168843543206279,0.174342303898875,0.233427900095727,0.310059097327546,0.148253033760548,0.185108154873118,
1990,0.296830590269693,0.277749135455863,0.278091164980515,0.361296789306803,0.365665464230391,0.347450515736578,0.263925592453154,0.483855582626322,0.296237236661312,0.350038400194022,0.36233205139664,0.27550456924964,0.263979433024658,0.252643257148301,0.331957865176183,0.419910777866702,0.243200081945057,0.278322566358388,
2000,0.345008723583384,0.33165454225482,0.324920500014008,0.387490564497564,0.393957934136195,0.369173992049572,0.312714855026679,0.514499402786704,0.318068122795987,0.409185174052952,0.41755654816627,0.330802229368718,0.309971190203865,0.306210317697617,0.375306076402084,0.503367646179735,0.302020364273018,0.271738604840623,
2001,0.35277670673049,0.344606892628011,0.334110139534335,0.38356864658908,0.392514840878452,0.359030376602339,0.318350582896846,0.543798462048534,0.332121389604234,0.420058127697419,0.42942814933018,0.334433205252303,0.318268781484743,0.309807789240754,0.38447988563985,0.517877141100633,0.317161181352744,0.253204149455396,
2002,0.353524927592574,0.349036651115007,0.336159537338957,0.377432795397932,0.387083979084282,0.351284828485943,0.319669064758979,0.540397592057047,0.331261270829849,0.407804421133577,0.429052886092702,0.339704143505534,0.323027560120342,0.296865687550573,0.383692169794484,0.517425235124804,0.318240408687117,0.253472440008386,
2003,0.362034506986469,0.358187689511334,0.341892951610881,0.387380587550279,0.400003914829541,0.353813048280415,0.325681209960934,0.556895389172505,0.341751259619332,0.431191798631493,0.447992211246089,0.347570874044181,0.325013921423673,0.310718862574361,0.394690239105436,0.529727884081405,0.328231753232138,0.251606437656085,
2004,0.367324709729713,0.370810225466832,0.345074846543101,0.384735737754272,0.39761241376806,0.351772937183046,0.33062829996609,0.572401511404658,0.348578930783152,0.449085393032251,0.449401569937029,0.35238020314019,0.334152743135861,0.310788613898008,0.397215309258699,0.53675818499228,0.335612735562227,0.252254470044244,
2005,0.379345137795961,0.387068030631773,0.359666265205879,0.388609649230315,0.402911610704289,0.35142507293975,0.34387589267402,0.575173098230383,0.358954377393946,0.450971885766113,0.463850807570628,0.362480457286156,0.34738207038469,0.341277703713612,0.403880731993575,0.551922358168366,0.347668291171296,0.262045219910141,
2006,0.414765567076499,0.431216238752097,0.391217699707095,0.414795952597221,0.429866786128031,0.37572278338104,0.375312225112941,0.620779498419297,0.395358814744792,0.481488437229016,0.497525058161633,0.394199894832754,0.384721257097926,0.3711559245593,0.446447316943351,0.573049960586222,0.370758210022536,0.344254326444573,
2007,0.426922180864582,0.444138583513574,0.4084928751876,0.420958618992918,0.438974986731476,0.375276269904283,0.386712096697021,0.635531340974747,0.409619624882834,0.491439627477675,0.506139456902174,0.407437068317546,0.400133456529561,0.377375991046825,0.457257301268456,0.590473647692677,0.381294855296487,0.354357060370088,
2008,0.439441397975448,0.459916218901874,0.423509446766468,0.429751015157523,0.447356751465849,0.384974415999197,0.398280247131025,0.643109232298106,0.42864958959269,0.509519572798833,0.521083661009217,0.419150692234172,0.408215832808161,0.400157149640319,0.472388236211486,0.605367560269941,0.394230854454126,0.362648290410924,
2009,0.462563809163689,0.484501840828203,0.446993999297503,0.451814053670451,0.474376846497738,0.395693556704482,0.422235634424951,0.658843783083179,0.452806098788112,0.528902305653373,0.544624631424964,0.450609263791014,0.427309746646913,0.41776053338307,0.495632950584341,0.621324609418259,0.423992205268431,0.377505014316029,
2010,0.469733166066647,0.494222139562898,0.454408372142917,0.456100461806149,0.476812962167321,0.405870470317768,0.430489596530234,0.665712594152264,0.456425705609229,0.545085065245879,0.549172724231272,0.45119691694587,0.443458793279833,0.410185051486647,0.496832772484892,0.630181830192795,0.431909494845735,0.384691203704338,
2011,0.483333548346415,0.511570323560324,0.468557016880918,0.465824578942811,0.490160190660785,0.407175567959759,0.441434566370843,0.680742038948891,0.476654460988976,0.54132878622769,0.562573731334798,0.465550154531233,0.458429793354751,0.430507167047586,0.507831570807412,0.643084471740764,0.444529454155476,0.40079663500506,
2012,0.494345325640416,0.523521184026009,0.479934375315136,0.476635679670899,0.502262130262587,0.416458254121791,0.453990039302622,0.68470875284854,0.487403130606111,0.564347761074175,0.575413407127329,0.47208841194034,0.464963393942398,0.44282191345098,0.528899863903273,0.653172144462797,0.456128873390655,0.410603990770523,
